STATS_YM,STATS_RM_CN,ACDMCR_TY_NM,RANK_NM,CNSLT_CN,CNSLT_CN_VALUE
201804,2018년1월1일~4월30일,중학교,6위,생활습관/외모,4.3
201804,2018년1월1일~4월30일,중학교,7위,인터넷/스마트폰,2.1
201804,2018년1월1일~4월30일,중학교,8위,성격,2.1
201804,2018년1월1일~4월30일,중학교,9위,정신건강,5.7
201804,2018년1월1일~4월30일,중학교,10위,일탈 및 비행,0.7
201804,2018년1월1일~4월30일,중학교,11위,-,0
201804,2018년1월1일~4월30일,고등학교,1위,대인관계,47.6
201804,2018년1월1일~4월30일,고등학교,2위,학업,15.4
201804,2018년1월1일~4월30일,고등학교,3위,진로,9.6
201804,2018년1월1일~4월30일,고등학교,4위,가족,7.2
201804,2018년1월1일~4월30일,고등학교,5위,기타,6.7
201804,2018년1월1일~4월30일,고등학교,6위,정신건강,4.1
201804,2018년1월1일~4월30일,고등학교,7위,생활습관/외모,3.6
201804,2018년1월1일~4월30일,고등학교,8위,인터넷/스마트폰,2.4
201804,2018년1월1일~4월30일,고등학교,9위,성격,2.2
201804,2018년1월1일~4월30일,고등학교,10위,일탈 및 비행,0.7
201804,2018년1월1일~4월30일,고등학교,11위,성,0.5
201710,2017년1월1일~10월31일,초등학교,1위,대인관계,52.8
201710,2017년1월1일~10월31일,초등학교,2위,학업,15.6
201710,2017년1월1일~10월31일,초등학교,3위,기타,13.6
201710,2017년1월1일~10월31일,초등학교,4위,가족,8
201710,2017년1월1일~10월31일,초등학교,5위,생활습관/외모,2.9
201710,2017년1월1일~10월31일,초등학교,6위,진로,2.4
201710,2017년1월1일~10월31일,초등학교,7위,성격,2.4
